first_name,id,total_publications,research_orgs,last_name,orcid_id,full_name,url
Frank,ur.014244135352.33,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Hilbk-Kortenbruck,,Frank Hilbk-Kortenbruck,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014244135352.33
Alexander,ur.015341723530.38,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Drenker,,Alexander Drenker,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015341723530.38
Patrick,ur.011363505627.06,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Gretzki,,Patrick Gretzki,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011363505627.06
Sarah,ur.01362725434.98,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Klein,,Sarah Klein,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01362725434.98
Markus,ur.01257526657.16,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Benk,,Markus Benk,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01257526657.16
Thomas,ur.016310132656.32,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Molitor,,Thomas Molitor,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016310132656.32
Jörg,ur.014203570442.83,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Luttmann,,Jörg Luttmann,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014203570442.83
Achim,ur.0671201305.11,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Lenenbach,,Achim Lenenbach,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0671201305.11
Ingo,ur.015537464370.98,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Ross,,Ingo Ross,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015537464370.98
Georg,ur.015315777447.46,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Bergweiler,,Georg Bergweiler,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015315777447.46
Gerhard,ur.011105767463.52,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Backes,,Gerhard Backes,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011105767463.52
Frank,ur.016123153003.84,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schneider,,Frank Schneider,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016123153003.84
Frank,ur.012643453533.30,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Zibner,,Frank Zibner,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012643453533.30
