,FOR,assignee_names,assignees,filing_status,granted_year,id,inventor_names,publication_date,publication_ids,times_cited,title,year
119,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Europe SARL', 'Guardian Glass LLC', 'GUARDIAN INDUSTRIES', 'CENTRE LUXEMBOURGEOIS DE RECH POUR LE VERRE ET LA CERAM S A (C R V C )']","[{'id': 'grid.471206.6', 'name': 'Guardian Industries (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9573845-B2,"['Jean-Marc Lemmer', 'Nestor P. Murphy', 'David D. McLean', 'Richard Blacker', 'Herbert Lage', 'Jose Ferreira', 'Pierre Pallotta']",2017-02-21,['pub.1014063041'],1,Articles including anticondensation and/or low-E coatings and/or methods of making the same,2015
120,"[{'id': '3158', 'name': '1114 Paediatrics and Reproductive Medicine'}]","['Inguran LLC', 'INGURAN LLC']",,Grant,2016.0,US-9347039-B2,"['Richard Lenz', 'Juan Moreno', 'Ramakrishnan Vishwanath']",2016-05-24,"['pub.1019072393', 'pub.1027777405', 'pub.1048283032', 'pub.1044050267', 'pub.1021091578', 'pub.1016801984', 'pub.1043387004', 'pub.1033999507', 'pub.1015630049', 'pub.1037562859', 'pub.1053604938', 'pub.1024254604', 'pub.1002524726', 'pub.1052429300', 'pub.1056439621', 'pub.1007191937', 'pub.1051621630', 'pub.1020502769', 'pub.1061930644', 'pub.1024460385', 'pub.1044946218', 'pub.1026875362', 'pub.1027814483', 'pub.1005790928', 'pub.1053665370', 'pub.1069160585', 'pub.1070881837', 'pub.1070887439', 'pub.1086090606', 'pub.1081267524', 'pub.1021704233', 'pub.1048888267', 'pub.1073144019']",3,Compositions and methods for processing sperm,2013
121,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Glass LLC', 'GUARDIAN INDUSTRIES']","[{'id': 'grid.471206.6', 'name': 'Guardian Industries (United States)', 'country_name': 'United States'}]",Grant,2014.0,US-8871349-B2,"['Jean-Marc Lemmer', 'Nestor P. Murphy', 'David D. McLean', 'Richard Blacker']",2014-10-28,['pub.1014063041'],10,Articles including anticondensation and/or low-E coatings and/or methods of  making the same,2013
122,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Glass LLC', 'GUARDIAN INDUSTRIES']","[{'id': 'grid.471206.6', 'name': 'Guardian Industries (United States)', 'country_name': 'United States'}]",Grant,2014.0,US-8790757-B2,"['Jean-Marc Lemmer', 'Nestor P. Murphy']",2014-07-29,['pub.1014063041'],7,Articles including anticondensation coatings and/or methods of making the same,2012
123,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Europe SARL', 'Guardian Glass LLC', 'GUARDIAN INDUSTRIES', 'CT LUXEMBOURG DE RECH S POUR LE VERRE ET LA CERAMIQUE S A C R V C']","[{'id': 'grid.471206.6', 'name': 'Guardian Industries (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9199875-B2,"['Jean-Marc Lemmer', 'Nestor P. Murphy', 'David D. McLean', 'Richard Blacker', 'Herbert Lage', 'Jose Ferreira', 'Pierre Pallotta']",2015-12-01,['pub.1014063041'],6,Articles including anticondensation and/or low-E coatings and/or methods of making the same,2014
124,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Glass LLC', 'LEMMER JEAN-MARC', 'MURPHY NESTOR P', 'GUARDIAN INDUSTRIES']","[{'id': 'grid.471206.6', 'name': 'Guardian Industries (United States)', 'country_name': 'United States'}]",Grant,2012.0,US-8304045-B2,"['Jean-Marc Lemmer', 'Nestor P. Murphy']",2012-11-06,['pub.1014063041'],33,Articles including anticondensation coatings and/or methods of making the same,2010
125,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Glass LLC', 'GUARDIAN GLASS LLC']",,Grant,2018.0,US-9902238-B2,"['Jean-Marc Lemmer', 'Nestor P. Murphy']",2018-02-27,['pub.1014063041'],1,Articles including anticondensation coatings and/or methods of making the same,2016
126,"[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","['CENTRE HOSPITALIER UNIVERSITAIRE DE NANTES', 'Centre National de la Recherche Scientifique CNRS', ""Universite d'Angers"", 'Universite du Maine', 'Universite de Nantes', 'Institut National de la Sante et de la Recherche Medicale INSERM', 'CENTRE NAT DE LA RECH SCIENT (CNRS)', 'UNIV DE NANTES', ""UNIV D'ANGERS"", 'UNIV DU MAINE', 'INSERM (INSTITUT NAT DE LA SANTE ET DE LA RECH MEDICALE)', 'CENTRE HOSPITALIER UNIV DE NANTES', ""UNIV D' ANGERS""]","[{'id': 'grid.4444.0', 'acronym': 'CNRS', 'name': 'French National Centre for Scientific Research', 'country_name': 'France'}, {'id': 'grid.7252.2', 'name': 'University of Angers', 'country_name': 'France'}, {'id': 'grid.7429.8', 'acronym': 'INSERM', 'name': 'French Institute of Health and Medical Research', 'country_name': 'France'}, {'id': 'grid.4817.a', 'name': 'University of Nantes', 'country_name': 'France'}, {'id': 'grid.34566.32', 'name': 'University of Maine', 'country_name': 'France'}, {'id': 'grid.277151.7', 'acronym': 'CHU', 'name': 'Centre Hospitalier Universitaire de Nantes', 'country_name': 'France'}]",Grant,2017.0,US-9714261-B2,"['Stephanie LEGOUPY', 'Djibril FAYE', 'Jean-Francois Gestin', 'Holisoa RAJERISON', 'Alain Faivre-Chauvet', 'Fabien BOEDA']",2017-07-25,"['pub.1047446536', 'pub.1032366506', 'pub.1043812188', 'pub.1005569680', 'pub.1040264882', 'pub.1021373418', 'pub.1001400732', 'pub.1028173682', 'pub.1055154492', 'pub.1056037498', 'pub.1056040569', 'pub.1056256925', 'pub.1020472346', 'pub.1044401737', 'pub.1007853158', 'pub.1029863196']",0,Ionic liquid supported organotin reagents for the manufacturing of radiopharmaceuticals compounds,2015
127,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Glass LLC', 'GUARDIAN INDUSTRIES']","[{'id': 'grid.471206.6', 'name': 'Guardian Industries (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9725356-B2,"['David P. Maikowski', 'David D. McLean', 'Timothy Bourque', 'Christopher Hobbs']",2017-08-08,['pub.1014063041'],0,"Heatable lens for luminaires, and/or methods of making the same",2015
128,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Glass LLC', 'GUARDIAN GLASS LLC']",,Grant,2018.0,US-9863182-B2,"['Jean-Marc Lemmer', 'Nestor P. Murphy', 'David D. McLean', 'Richard Blacker']",2018-01-09,"['pub.1014063041', 'pub.1058006110']",3,Articles including anticondensation and/or low-E coatings and/or methods of making the same,2017
