,total_grants,id,last_grant_year
377,3,ur.01213357474.95,2022.0
378,14,ur.01030556502.61,2023.0
379,33,ur.01330361724.23,2021.0
380,3,ur.012600555377.86,2022.0
381,2,ur.010452447462.48,2022.0
382,3,ur.01170271720.20,2024.0
383,29,ur.015012714437.80,2024.0
384,9,ur.01300106701.65,2022.0
385,28,ur.01230014411.44,2023.0
386,6,ur.01035265572.24,2013.0
387,10,ur.016323146432.35,2016.0
388,23,ur.01335735615.31,2023.0
389,13,ur.0660210527.50,2024.0
390,0,ur.01341032053.15,
391,17,ur.0740630142.67,2024.0
392,0,ur.01121255525.11,
393,13,ur.012344566157.55,2023.0
394,31,ur.014612650514.15,2024.0
395,26,ur.01160234271.56,2023.0
396,2,ur.01021156177.43,2020.0
397,4,ur.011235144537.09,2014.0
398,9,ur.012266613364.42,2022.0
399,0,ur.0611555753.26,
400,0,ur.0714227664.21,
401,0,ur.01224466535.24,
402,1,ur.0756367034.05,2010.0
403,0,ur.0736713725.41,
404,0,ur.01224176021.90,
405,0,ur.011203245315.59,
406,0,ur.01036516062.45,
407,1,ur.01166246311.35,2017.0
408,3,ur.01260753642.13,2017.0
409,0,ur.0733474324.74,
410,1,ur.01322720426.10,2019.0
411,19,ur.01056542504.81,2018.0
412,0,ur.0724723304.99,
413,7,ur.01055716156.21,2023.0
414,0,ur.01144154402.37,
415,0,ur.01110255466.35,
416,0,ur.0575776442.24,
417,0,ur.01052511415.08,
418,0,ur.01333522301.15,
419,8,ur.0624052041.17,2021.0
420,32,ur.012120707502.38,2023.0
421,0,ur.01205454434.38,
422,0,ur.01002106575.49,
423,1,ur.01110221360.02,2002.0
424,0,ur.0643231024.14,
425,0,ur.01365103204.42,
426,1,ur.014075637753.98,2018.0
427,1,ur.015206537357.39,2007.0
428,4,ur.013471075617.35,2017.0
429,13,ur.01102656013.12,2024.0
430,7,ur.0623730357.31,2018.0
431,1,ur.0662552055.53,2009.0
432,0,ur.01275601577.27,
433,0,ur.01176766774.45,
434,5,ur.0674303034.04,2023.0
435,0,ur.01162764321.86,
436,0,ur.01045664025.48,
437,8,ur.0636003765.97,2023.0
438,0,ur.01177041472.42,
439,0,ur.0701230635.04,
440,2,ur.0706723243.24,2012.0
441,0,ur.01003403663.56,
442,18,ur.0603012530.33,2018.0
443,0,ur.01163250252.90,
444,0,ur.01370255262.89,
445,2,ur.01252077430.47,2019.0
446,3,ur.01271354173.03,2021.0
447,9,ur.01060576561.19,2019.0
448,4,ur.01205012472.24,2009.0
449,14,ur.01204470014.51,2022.0
450,8,ur.01351440247.41,2023.0
451,3,ur.013716550164.32,2017.0
452,19,ur.012700642422.76,2020.0
453,1,ur.0713541727.99,2019.0
454,6,ur.01036635453.10,2019.0
455,3,ur.01046024362.92,2019.0
456,0,ur.0766456272.40,
457,17,ur.01132314305.16,2018.0
458,0,ur.01205237176.83,
