,id,last_grant_year,total_grants
311,ur.013142315002.26,2020.0,5.0
312,ur.012264440652.05,2022.0,16.0
313,ur.011203245315.59,,
314,ur.01175557647.16,2024.0,7.0
315,ur.01200771067.24,2008.0,3.0
316,ur.0651111653.12,2024.0,31.0
317,ur.0761771561.72,2019.0,5.0
318,ur.01072523061.22,2018.0,14.0
319,ur.0773127601.34,,
320,ur.01276752315.18,,
321,ur.013236063322.64,2017.0,6.0
322,ur.012631765612.56,2022.0,28.0
323,ur.010001043302.06,,
324,ur.015576406233.51,,
325,ur.0112255365.50,,
326,ur.01056637062.63,2021.0,8.0
327,ur.01001324722.89,,
328,ur.01247426430.47,,
329,ur.01053125172.25,2018.0,14.0
330,ur.01276147702.63,,
331,ur.01303606614.33,,
332,ur.01225441541.34,,
333,ur.0605556261.59,,
334,ur.01042141060.50,2021.0,15.0
335,ur.0770340363.50,2023.0,10.0
336,ur.01333446703.24,,
337,ur.012745117217.03,2016.0,18.0
338,ur.01272012610.98,,
339,ur.01110255466.35,,
340,ur.01325407235.18,2019.0,2.0
341,ur.01041061221.12,2020.0,3.0
342,ur.0730545027.13,2012.0,6.0
343,ur.01240456501.49,2022.0,3.0
344,ur.0722663766.79,2019.0,1.0
345,ur.01165442252.60,,
346,ur.0763100407.41,,
347,ur.014377465057.81,2023.0,6.0
348,ur.014366020547.03,2020.0,18.0
349,ur.01310516710.30,2023.0,10.0
350,ur.01146643251.63,,
351,ur.01026114310.09,2021.0,20.0
352,ur.01025022663.19,,
353,ur.0644335107.68,,
354,ur.01036127203.64,,
355,ur.01133243663.61,2023.0,2.0
356,ur.01222435227.61,,
357,ur.0742714555.32,,
358,ur.01220643160.06,2015.0,5.0
359,ur.0743051442.75,2023.0,4.0
360,ur.01120140410.39,2022.0,5.0
361,ur.01034121076.87,2017.0,4.0
362,ur.01166246311.35,2017.0,1.0
363,ur.01104357207.40,2019.0,6.0
364,ur.01153432015.08,2019.0,1.0
365,ur.01347562145.63,2022.0,3.0
366,ur.01051674732.59,2020.0,3.0
367,ur.01354374010.44,2018.0,2.0
368,ur.010416017507.14,2023.0,21.0
369,ur.01267360065.55,2020.0,10.0
370,ur.016023162734.90,,
371,ur.01223240773.33,,1.0
372,ur.01365006302.05,,
373,ur.011517303117.07,2022.0,20.0
374,ur.0624332664.74,2021.0,3.0
375,ur.0756367034.05,,
376,ur.01046422055.08,,
377,ur.0610023545.07,2021.0,2.0
378,ur.01077652051.47,,
379,ur.01117721120.30,2020.0,29.0
380,ur.012120707502.38,2023.0,32.0
381,ur.01015727075.97,2021.0,1.0
382,ur.016350427407.47,,2.0
383,ur.01106432311.84,2020.0,16.0
384,ur.01004117202.37,,
385,ur.0744020556.20,,
386,ur.015301404517.88,2022.0,12.0
387,ur.012151177437.05,2023.0,21.0
388,ur.011026120037.74,2023.0,38.0
389,ur.01220453202.22,2021.0,9.0
390,ur.0576775630.15,2018.0,2.0
391,ur.0756060406.94,2023.0,4.0
392,ur.0671773024.37,2018.0,11.0
393,ur.01047662664.02,,
394,ur.0775651027.78,,
395,ur.0657532321.26,2020.0,2.0
396,ur.010700366647.17,2022.0,39.0
397,ur.0743320722.44,2013.0,1.0
398,ur.01342223366.01,,
399,ur.010663343457.34,2019.0,8.0
400,ur.0662466076.36,,
401,ur.01302706715.35,2018.0,3.0
402,ur.01107035267.40,2021.0,23.0
403,ur.0706161564.18,,
404,ur.01072060034.10,2014.0,1.0
405,ur.0710763705.45,2017.0,4.0
406,ur.0607014114.87,,
407,ur.01002162132.49,,
408,ur.01355772070.47,2015.0,3.0
409,ur.01150603676.37,,
410,ur.0767670161.16,,
411,ur.01317570303.86,2016.0,10.0
412,ur.0634264377.67,,1.0
413,ur.0712635675.19,,
414,ur.01117564210.02,2019.0,5.0
415,ur.0771421022.72,2016.0,1.0
416,ur.016354357071.35,,
417,ur.01331623740.48,,
418,ur.011541727257.42,2023.0,22.0
419,ur.010541512137.94,2010.0,7.0
420,ur.013474104577.09,2023.0,19.0
421,ur.012202026677.65,2002.0,2.0
422,ur.014110301753.77,,
423,ur.014501363031.16,,
424,ur.0664042013.05,,
425,ur.0611446267.37,2024.0,46.0
426,ur.01300516035.03,,
427,ur.0666350247.67,,
428,ur.01347020047.71,2021.0,7.0
429,ur.01160545123.53,2020.0,21.0
430,ur.01157661566.11,2021.0,1.0
431,ur.0635134330.89,,
432,ur.01205455323.64,2018.0,3.0
433,ur.01330734403.13,,
434,ur.01205523707.73,,
435,ur.0661444545.02,,
436,ur.0623451641.96,,
437,ur.0705101106.89,2023.0,19.0
438,ur.01170300726.89,1992.0,1.0
439,ur.01041573706.30,2021.0,3.0
440,ur.014652207777.75,,
441,ur.010075340637.84,2014.0,2.0
442,ur.010452320737.68,2023.0,20.0
443,ur.015356157217.08,2018.0,47.0
444,ur.014374337777.39,,
445,ur.016617734537.91,2020.0,9.0
446,ur.015717270557.78,,
447,ur.016621360067.59,,
448,ur.016151275002.66,,
449,ur.011405001662.87,2022.0,13.0
450,ur.012622674734.73,2023.0,36.0
451,ur.013366447000.98,2022.0,42.0
452,ur.016464406612.95,2020.0,7.0
453,ur.01207753503.50,2023.0,30.0
454,ur.01235162135.10,,
455,ur.0720776104.57,,
456,ur.01007325065.71,2024.0,14.0
457,ur.0625660524.69,2018.0,5.0
458,ur.01020141307.74,2019.0,5.0
459,ur.01266371434.24,2017.0,1.0
460,ur.0706133702.96,,
461,ur.0721633133.76,,
462,ur.01177403547.78,2018.0,2.0
463,ur.01205631542.42,2020.0,3.0
464,ur.01242416310.24,2018.0,5.0
465,ur.01371227760.44,2017.0,2.0
466,ur.01145707302.20,2023.0,41.0
467,ur.01304013052.15,2020.0,6.0
468,ur.01266053113.52,2023.0,20.0
469,ur.011730155577.61,2024.0,33.0
470,ur.013014002502.78,,
471,ur.0772101217.51,,
472,ur.01151275734.45,,
473,ur.01162244006.55,2023.0,2.0
474,ur.016042157133.69,,
475,ur.01230220117.55,2015.0,1.0
476,ur.0607335463.58,2021.0,2.0
477,ur.01041051470.29,2024.0,12.0
478,ur.01122154647.85,,
479,ur.01262217023.77,2013.0,2.0
480,ur.0765074230.63,,
481,ur.01327112252.02,,
482,ur.01173707176.96,,
483,ur.01142432564.72,2018.0,12.0
484,ur.01060311745.41,2020.0,8.0
485,ur.0734340315.34,2023.0,8.0
486,ur.01275617260.80,,
487,ur.01154507440.57,2019.0,3.0
488,ur.01032525341.30,,
489,ur.01227116422.12,,
490,ur.01006332473.11,2018.0,6.0
491,ur.01033315763.32,2021.0,11.0
492,ur.01110104731.70,2011.0,1.0
493,ur.01332367622.23,,
494,ur.0671077530.05,2023.0,18.0
495,ur.016600715277.63,,
496,ur.0714133215.07,,
497,ur.01274472031.96,2023.0,3.0
498,ur.0661345611.20,2020.0,16.0
499,ur.01156677161.00,2023.0,13.0
500,ur.0657145251.67,2020.0,12.0
501,ur.01114462237.40,2023.0,1.0
502,ur.01357677605.16,,
503,ur.0714264440.15,2021.0,1.0
504,ur.013512014047.87,2019.0,4.0
505,ur.01106754655.50,,
506,ur.01233412672.61,2021.0,8.0
507,ur.01015000422.63,2023.0,5.0
508,ur.0727145700.91,2015.0,4.0
509,ur.0617400773.76,2012.0,1.0
510,ur.01127752143.12,2023.0,46.0
511,ur.01326632503.39,,
512,ur.011253356307.53,,
513,ur.01354003761.82,2015.0,5.0
514,ur.012600555377.86,2022.0,3.0
515,ur.015707704457.56,2022.0,14.0
516,ur.011653475557.88,2019.0,18.0
517,ur.014620326475.28,,
518,ur.0732664524.92,2014.0,1.0
519,ur.01107635252.17,,
520,ur.01107436446.52,,
521,ur.01276523755.34,,
522,ur.014602566457.34,,
523,ur.01115770721.26,2017.0,1.0
524,ur.0716442347.54,,
525,ur.013740005471.26,,
526,ur.0620136570.19,2021.0,6.0
527,ur.01150751514.15,2023.0,20.0
528,ur.01333534554.85,,
529,ur.0577752122.01,,
530,ur.012344566157.55,2023.0,11.0
531,ur.01300414276.96,2017.0,1.0
532,ur.012477746136.44,2008.0,1.0
533,ur.016004026214.55,,
534,ur.012253425364.60,,
535,ur.011126100414.29,2016.0,1.0
536,ur.016674701102.75,,
537,ur.014342530100.40,2021.0,8.0
538,ur.0631601743.33,,
539,ur.01140036361.27,2019.0,9.0
540,ur.0644121335.54,2023.0,19.0
541,ur.0624535160.40,2013.0,1.0
542,ur.01140064416.73,2022.0,2.0
543,ur.01230144105.36,2017.0,4.0
544,ur.01011104615.76,2017.0,8.0
545,ur.0755334151.48,2019.0,14.0
546,ur.01315221535.21,,
547,ur.01167177047.84,2021.0,12.0
548,ur.0760555123.64,2016.0,4.0
549,ur.01042253275.85,,
550,ur.01144534551.15,2023.0,24.0
551,ur.0765377607.72,2010.0,3.0
552,ur.01104516710.33,2021.0,9.0
553,ur.01173745662.60,,
554,ur.0675136436.15,,
555,ur.0763077514.08,,
556,ur.01035265572.24,2013.0,6.0
557,ur.01310017710.74,,
558,ur.01263622305.88,2018.0,10.0
559,ur.01155064273.68,2017.0,4.0
560,ur.01330007603.07,2022.0,4.0
561,ur.01034333505.72,,
562,ur.01077600005.78,,
563,ur.01325332007.59,,
564,ur.01103300673.89,2023.0,13.0
565,ur.01116254763.53,,
566,ur.01142017552.25,,
567,ur.01312451146.19,2022.0,3.0
568,ur.01260600634.53,,
569,ur.0774636110.09,,
570,ur.01366500620.93,,
571,ur.01070241414.27,,
572,ur.01170350513.24,,
573,ur.01365531352.22,2020.0,4.0
574,ur.01366154613.34,,
575,ur.01073352754.87,2002.0,2.0
576,ur.01353341174.06,2021.0,1.0
577,ur.01053774127.23,2013.0,1.0
578,ur.0642244565.58,,
579,ur.01253674504.02,,
580,ur.01230014411.44,2023.0,28.0
581,ur.01133144301.00,2021.0,4.0
582,ur.010065171457.69,2018.0,26.0
583,ur.0663762252.36,,
584,ur.014362300302.36,2020.0,2.0
585,ur.0714371637.39,,
586,ur.01003466553.33,2022.0,8.0
587,ur.0712400456.14,2018.0,7.0
588,ur.011107031664.09,,
589,ur.010702522444.60,2020.0,18.0
590,ur.0660210527.50,2023.0,12.0
591,ur.01014226210.16,2024.0,6.0
592,ur.0637373466.80,,
593,ur.01313240102.02,,
594,ur.01023473371.51,,
595,ur.0650417210.95,,
596,ur.01217436350.96,,
597,ur.01240233274.17,2012.0,1.0
598,ur.01237343617.69,2020.0,4.0
599,ur.015131156777.62,,
600,ur.0744721723.19,2014.0,3.0
601,ur.011367065707.90,2023.0,6.0
602,ur.0755436405.55,2022.0,13.0
603,ur.01332405525.49,2019.0,7.0
604,ur.01247663165.54,2017.0,2.0
605,ur.01027352664.02,,
606,ur.015256016612.78,2009.0,3.0
607,ur.0705572413.42,2016.0,1.0
608,ur.01310170137.53,2022.0,10.0
609,ur.01220054741.71,,
610,ur.0655633423.09,,
611,ur.0607606036.45,2022.0,19.0
612,ur.01164404501.34,2023.0,10.0
613,ur.01263225337.08,2023.0,5.0
614,ur.01040452443.77,,
615,ur.01160234271.56,2023.0,26.0
616,ur.01317660746.45,2020.0,6.0
617,ur.0740552547.32,,
618,ur.0743663170.81,2021.0,17.0
619,ur.016254174407.38,,
620,ur.01221734637.59,2023.0,22.0
621,ur.01013304513.36,2019.0,10.0
622,ur.01366421627.04,,
623,ur.0660350640.19,2016.0,2.0
624,ur.0607045233.26,2018.0,1.0
625,ur.015043215017.69,2022.0,24.0
626,ur.016661354517.50,2020.0,20.0
627,ur.01322260243.91,,
628,ur.014772144766.03,,
629,ur.013760043547.76,2019.0,1.0
630,ur.013557245567.15,,
631,ur.016441375557.13,,
632,ur.01262170300.25,2010.0,2.0
633,ur.01072063605.26,2019.0,10.0
634,ur.01313052166.05,,
635,ur.01272671604.52,2017.0,1.0
636,ur.0620266371.52,2019.0,1.0
