,affiliations,corresponding,current_organization_id,first_name,is_bogus,last_name,orcid,researcher_id,pub_id
977,"[{'id': 'grid.66859.34', 'name': 'Broad Institute', 'city': 'Cambridge', 'city_id': 4931972, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}, {'id': 'grid.32224.35', 'name': 'Massachusetts General Hospital', 'city': 'Boston', 'city_id': 4930956, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}]",,grid.66859.34,Raymond K.,,Walters,,ur.014620326475.28,pub.1117493989
978,"[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'city': 'Cambridge', 'city_id': 4931972, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}]",,grid.38142.3c,Omeed,,Maghzian,,ur.013245271566.32,pub.1117493989
979,"[{'id': 'grid.12380.38', 'name': 'VU University Amsterdam', 'city': 'Amsterdam', 'city_id': 2759794, 'country': 'Netherlands', 'country_code': 'NL', 'state': None, 'state_code': None}]",,grid.12380.38,Aysu,,Okbay,,ur.015760333745.28,pub.1117493989
980,"[{'id': 'grid.437349.e', 'name': 'University of Minnesota System', 'city': 'Minneapolis', 'city_id': 5037649, 'country': 'United States', 'country_code': 'US', 'state': 'Minnesota', 'state_code': 'US-MN'}]",,grid.17635.36,James J.,,Lee,['0000-0001-6547-5128'],ur.01326713436.22,pub.1117493989
981,"[{'id': 'grid.239915.5', 'name': 'Hospital for Special Surgery', 'city': 'New York', 'city_id': 5128581, 'country': 'United States', 'country_code': 'US', 'state': 'New York', 'state_code': 'US-NY'}]",,grid.239915.5,Mark Alan,,Fontana,,ur.012516024366.43,pub.1117493989
982,"[{'id': 'grid.42505.36', 'name': 'University of Southern California', 'city': 'Los Angeles', 'city_id': 5368361, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",,grid.42505.36,Tuan Anh,,Nguyen-Viet,,ur.014145605433.35,pub.1117493989
983,"[{'id': 'grid.266190.a', 'name': 'University of Colorado Boulder', 'city': 'Boulder', 'city_id': 5574991, 'country': 'United States', 'country_code': 'US', 'state': 'Colorado', 'state_code': 'US-CO'}]",,grid.266190.a,Robbee,,Wedow,['0000-0002-3108-7087'],ur.01032525341.30,pub.1117493989
984,"[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'city': 'Cambridge', 'city_id': 4931972, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}]",,grid.38142.3c,Meghan,,Zacher,,ur.0666537042.95,pub.1117493989
985,"[{'id': 'grid.420283.f', 'name': '23andMe (United States)', 'city': 'Mountain View', 'city_id': 5375480, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",,grid.420283.f,Nicholas A.,,Furlotte,,ur.012171701167.35,pub.1117493989
989,"[{'id': 'grid.8993.b', 'name': 'Uppsala University', 'city': 'Uppsala', 'city_id': 2666199, 'country': 'Sweden', 'country_code': 'SE', 'state': None, 'state_code': None}]",,grid.8993.b,Sven,,Oskarsson,['0000-0001-8698-2866'],ur.07501246713.08,pub.1117493989
