,count,funding,id
168694,1,21970132.0,ur.01005576514.80
168695,1,24715364.0,ur.010063107552.64
168696,1,21970132.0,ur.01006510706.03
168697,1,25574464.0,ur.01006512624.28
168698,1,74257224.0,ur.0100664344.38
168699,1,24715364.0,ur.010066750652.93
168700,1,24715364.0,ur.01007105576.13
168701,1,22655526.0,ur.010071101617.09
168702,1,21970132.0,ur.010071454372.24
168703,1,24715364.0,ur.010072611752.60
168704,1,0.0,ur.01007374727.73
168705,1,21970132.0,ur.010075315472.18
168706,1,24715364.0,ur.010102617412.72
