id,publication_date,assignee_names,title,granted_year,publication_ids,inventor_names,filing_status,year,FOR,assignees,times_cited
WO-2014071135-A1,2014-05-08,['GEN ELECTRIC'],ADDITIVE MANUFACTURING METHOD AND APPARATUS,,"['pub.1016766111', 'pub.1036167234']","['KENNEY, Patrick, Michael', 'LINDLEY, Dustin, Eugene']",Application,2013,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.418143.b', 'city_name': 'Boston', 'acronym': 'GE', 'name': 'General Electric (United States)', 'country_name': 'United States'}]",19
DE-102014116567-A1,2016-05-12,"['Fraunhofer Gesellschaft zur Forderung der Angewandten Forschung eV', 'FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E V']",Method and apparatus for sorting of microparticles in a fluid stream,,['pub.1039745879'],"['Achim Lenenbach', 'Reinhard Noll', 'Georg Meineke', 'Harald Mathis']",Application,2014,"[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]","[{'id': 'grid.4561.6', 'city_name': 'Munich', 'acronym': 'FHG', 'name': 'Fraunhofer Society', 'country_name': 'Germany'}]",0
US-9533375-B2,2017-01-03,"['Industrial Technology Research Institute', 'IND TECH RES INST']","Temperature sensing apparatus, laser processing system, and temperature measuring method",2017.0,"['pub.1006630163', 'pub.1014361581', 'pub.1070927540', 'pub.1014116803', 'pub.1035892231']","['Chia-Hung Cho', 'Yi-Chen Hsieh', 'Kai-Ping Chuang', 'Sen-Yih Chou', 'Chun-Jen Lin']",Grant,2014,"[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]","[{'id': 'grid.418030.e', 'city_name': 'Hsinchu', 'acronym': 'ITRI', 'name': 'Industrial Technology Research Institute', 'country_name': 'Taiwan'}]",0
WO-2015117860-A1,2015-08-13,['OSRAM OLED GMBH'],"METHOD FOR PRODUCING AN OPTOELECTRONIC ARRANGEMENT, AND OPTOELECTRONIC ARRANGEMENT",,['pub.1024547735'],"['KRUMMACHER, BENJAMIN CLAUS', 'SCHICKTANZ, Simon', 'SCHWAMB, Philipp']",Application,2015,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.426230.1', 'city_name': 'Munich', 'name': 'OSRAM (Germany)', 'country_name': 'Germany'}]",0
US-9346119-B2,2016-05-24,"['Rolls Royce PLC', 'WILKINSON STEPHEN J', 'TAYLOR JONATHAN M', 'ROLLS ROYCE PLC']",Object forming assembly,2016.0,['pub.1014120524'],"['Stephen J. WILKINSON', 'Jonathan M. Taylor']",Grant,2011,"[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.1121.3', 'city_name': 'Derby', 'name': 'Rolls-Royce (United Kingdom)', 'country_name': 'United Kingdom'}]",0
US-9847258-B2,2017-12-19,"['NXP BV', 'NXP BV']",Plasma dicing with blade saw patterned underside mask,2017.0,"['pub.1033388599', 'pub.1026312776']","['THOMAS ROHLEDER', 'Hartmut BUENNING', 'Guido Albermann', 'Sascha MOELLER', 'Martin Lapke']",Grant,2015,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.5887.2', 'city_name': 'Eindhoven', 'name': 'NXP (Netherlands)', 'country_name': 'Netherlands'}]",0
US-9482103-B2,2016-11-01,"['United Technologies Corp', 'UNITED TECHNOLOGIES CORP']",Intermediate additively manufactured component,2016.0,['pub.1040299846'],"['John McBrien', 'Lea Kennard Castle', 'Brandon W. Spangler', 'Jinquan Xu']",Grant,2016,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.427377.2', 'city_name': 'East Hartford', 'acronym': 'UTC', 'name': 'United Technologies (United States)', 'country_name': 'United States'}]",1
US-8873134-B2,2014-10-28,"['nLight Inc', 'PRICE R KIRK', 'LACHAPELLE JOSEPH G', 'SARACCO MATTHIEU', 'MCCOMB TIMOTHY S', 'FARMER JASON N', 'NLIGHT PHOTONICS CORP']",Hybrid laser amplifier system including active taper,2014.0,"['pub.1065228094', 'pub.1061702966', 'pub.1061301157', 'pub.1065190861']","['R. Kirk Price', 'Joseph G. LaChapelle', 'Matthieu Saracco', 'Timothy S. McComb', 'Jason N. Farmer']",Grant,2012,"[{'id': '2409', 'name': '0205 Optical Physics'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",10
US-9494738-B1,2016-11-15,"['nLight Inc', 'FARMER JASON N', 'WAARTS ROBERT G', 'EDGECUMBE JOHN', 'NLIGHT INC']",Single mode fiber combiners,2016.0,"['pub.1065228094', 'pub.1065190861', 'pub.1061301157', 'pub.1061702966']","['Jason N. Farmer', 'Robert G. Waarts', 'John Edgecumbe']",Grant,2009,"[{'id': '2409', 'name': '0205 Optical Physics'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",1
US-9285541-B2,2016-03-15,"['nLight Inc', 'SARACCO MATTHIEU', 'FARMER JASON N', 'KEENEY SCOTT H', 'MCCOMB TIMOTHY S', 'NLIGHT PHOTONICS CORP']",UV-green converting fiber laser using active tapers,2016.0,"['pub.1061702966', 'pub.1061301157', 'pub.1065190861', 'pub.1065228094']","['Matthieu Saracco', 'Jason N. Farmer', 'Scott H. Keeney', 'Timothy S. McComb']",Grant,2012,"[{'id': '2409', 'name': '0205 Optical Physics'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",0
US-10071422-B2,2018-09-11,"['Velo3D Inc', 'VELO3D INC']",Skillful three-dimensional printing,2018.0,"['pub.1064448245', 'pub.1033006436', 'pub.1020423046', 'pub.1031531356', 'pub.1000912738', 'pub.1092778101', 'pub.1062074256', 'pub.1050932299', 'pub.1010076823', 'pub.1005548235', 'pub.1091513431', 'pub.1040936605', 'pub.1044566045']","['Benyamin Buller', 'Erel Milshtein', 'Thomas Blasius BREZOCZKY', 'Zachary Ryan Murphree', 'Daniel Christiansen', 'Alan Rick Lappen']",Grant,2016,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,2
WO-2017013143-A1,2017-01-26,['ProASSORT GmbH'],CONVEYING AND SEPARATING PIECES OF RAW MATERIAL,,"['pub.1019783030', 'pub.1035117249']","['PILLKAHN, HANS-BERND']",Application,2016,"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]",,1
WO-2017001098-A1,2017-01-05,['SIEMENS AG'],APPARATUS AND METHOD FOR POWDER-BASED LASER BUILD-UP WELDING,,['pub.1000048024'],"['LUPP, FRIEDRICH']",Application,2016,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","[{'id': 'grid.5406.7', 'city_name': 'Munich', 'name': 'Siemens (Germany)', 'country_name': 'Germany'}]",0
US-9662840-B1,2017-05-30,"['Velo3D Inc', 'VELO3D INC']",Adept three-dimensional printing,2017.0,"['pub.1064448245', 'pub.1005548235', 'pub.1050932299', 'pub.1062074256', 'pub.1000912738', 'pub.1031531356', 'pub.1033006436']","['Benyamin Buller', 'Tasso LAPPAS', 'Evgeni Levin']",Grant,2016,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,18
US-9399256-B2,2016-07-26,"['Velo3D Inc', 'VELO3D INC']","Apparatuses, systems and methods for three-dimensional printing",2016.0,"['pub.1033006436', 'pub.1005548235', 'pub.1000912738', 'pub.1031531356', 'pub.1062074256', 'pub.1051204657']","['Benyamin Buller', 'Erel Milshtein', 'Thai Cheng Chua']",Grant,2015,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,27
US-RE45885-E1,2016-02-09,"['FlexEnable Ltd', 'PLASTIC LOGIC LTD', 'FLEXENABLE LTD']",Laser ablation of electronic devices,2016.0,"['pub.1029944948', 'pub.1010306034', 'pub.1014464305', 'pub.1037418464', 'pub.1041976792', 'pub.1027550244', 'pub.1062567050']","['Paul A. Cain', 'Carl Hayton']",Grant,2006,"[{'id': '2837', 'name': '0903 Biomedical Engineering'}]","[{'id': 'grid.460210.1', 'city_name': 'Cambridge', 'name': 'FlexEnable (United Kingdom)', 'country_name': 'United Kingdom'}, {'id': 'grid.423159.8', 'city_name': 'Cambridge', 'name': 'Plastic Logic (United Kingdom)', 'country_name': 'United Kingdom'}]",0
EP-3261119-A1,2017-12-27,"['Infineon Technologies AG', 'INFINEON TECHNOLOGIES AG']",POWER SEMICONDUCTOR MODULE COMPONENTS AND ADDITIVE MANUFACTURING THEREOF,,['pub.1093812764'],"['WILKE, ULRICH', 'CORDES, ACHIM', 'Mücke, Achim', 'TSCHIRBS, ROMAN', 'HOHLFELD, OLAF']",Application,2016,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","[{'id': 'grid.410337.2', 'city_name': 'Munich', 'name': 'Infineon Technologies (Germany)', 'country_name': 'Germany'}]",0
EP-2982698-A1,2016-02-10,"['Commissariat a l Energie Atomique et aux Energies Alternatives', 'COMMISSARIAT À L ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES']",Method for photo-immobilizing biomolecules on substantially non-porous carriers,,"['pub.1030781922', 'pub.1002113348', 'pub.1027414648']","['Credou, Julie', 'BERTHELOT, THOMAS', 'FADDOUL, RITA']",Application,2014,"[{'id': '3021', 'name': '1007 Nanotechnology'}]","[{'id': 'grid.5583.b', 'city_name': 'Paris', 'acronym': 'CEA', 'name': 'Atomic Energy and Alternative Energies Commission', 'country_name': 'France'}]",0
WO-2014204569-A3,2015-03-05,['UNITED TECHNOLOGIES CORP'],REGENERATING AN ADDITIVELY MANUFACTURED COMPONENT TO CURE DEFECTS AND ALTER MICROSTRUCTURE,,['pub.1040299846'],"['MCBRIEN, JOHN', 'CASTLE, Lea, Kennard', 'SPANGLER, Brandon, W.', 'XU, JINQUAN']",Application,2014,"[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.427377.2', 'city_name': 'East Hartford', 'acronym': 'UTC', 'name': 'United Technologies (United States)', 'country_name': 'United States'}]",0
