researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url,total_grants,last_grant_year,total_funding
ur.0664172257.33,16,Børge G. Nordestgaard,111.8125,206.9375,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0664172257.33,8,2021,3181329.0
ur.0756060406.94,16,John C. Chambers,131.0,189.375,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0756060406.94,4,2024,9293843.0
ur.010001043302.06,16,Augustine Kong,102.6875,234.0625,2018,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010001043302.06,0,0,
ur.016126404017.45,16,Xiuqing Guo,114.75,162.125,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016126404017.45,2,2012,11522663.0
ur.01325407235.18,15,Diether Lambrechts,93.33333333333331,217.0,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01325407235.18,12,2022,2360899.0
ur.01263457230.91,15,Ole A. Andreassen,181.2,194.06666666666663,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01263457230.91,32,2025,43537178.0
ur.01363244334.84,15,Louise V Wain,99.73333333333332,143.0,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01363244334.84,0,0,
ur.01006410206.09,15,Fernando Rivadeneira,110.13333333333334,250.26666666666668,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01006410206.09,1,2023,929618.0
ur.01347664403.23,15,Peter Kraft,120.26666666666668,298.1333333333333,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01347664403.23,6,2018,12067670.0
ur.01352171051.53,15,Konstantin Strauch,117.93333333333334,217.0,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01352171051.53,6,2018,0.0
ur.0747162463.84,15,Stella Trompet,111.2,168.26666666666668,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0747162463.84,0,0,
ur.01277325446.86,15,Najaf Amin,147.4,370.06666666666666,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01277325446.86,0,0,
ur.0751112610.31,15,Myriam Fornage,113.33333333333331,213.53333333333333,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0751112610.31,12,2024,27992742.0
ur.01127542415.10,15,Alex W. Hewitt,74.2,163.33333333333334,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01127542415.10,26,2023,17736934.0
ur.01326615365.18,15,Danielle Posthuma,253.8,547.9333333333333,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01326615365.18,14,2024,2655705.0
ur.016663274647.87,15,Praveen Surendran,97.13333333333334,192.13333333333333,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016663274647.87,1,2021,438326.0
ur.01024027537.42,15,Naomi R Wray,254.26666666666668,257.0,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01024027537.42,24,2021,18292214.0
ur.01272012610.98,15,Antonietta Robino,64.73333333333333,235.86666666666667,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01272012610.98,0,0,
ur.012050176237.32,15,Joshua C. Bis,134.6,194.0,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012050176237.32,0,0,
ur.01160031210.84,15,Vilmantas Giedraitis,102.8,186.46666666666667,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01160031210.84,2,2020,830747.0
ur.016466407337.40,15,Panos Deloukas,131.66666666666666,173.4,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016466407337.40,1,0,1724215.0
ur.015012714437.80,15,Patrick F. Sullivan,259.0,424.2,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015012714437.80,29,2024,54374545.0
ur.01326563003.30,14,Ruifang Li-Gao,85.57142857142857,276.57142857142856,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01326563003.30,0,0,
ur.0734135057.55,14,Johanna Kuusisto,148.0,134.21428571428572,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0734135057.55,2,2019,416559.0
ur.0772101217.51,14,Ching-Yu Cheng,76.0,98.14285714285714,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0772101217.51,0,0,
ur.0675500473.09,14,Joel N. Hirschhorn,106.14285714285714,150.28571428571428,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0675500473.09,7,2022,36988365.0
ur.012766272254.47,14,Timothy M. Frayling,112.21428571428572,235.92857142857144,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012766272254.47,23,2022,22135729.0
ur.0765447455.52,14,Oluf Pedersen,108.78571428571428,197.78571428571428,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0765447455.52,3,2016,1469081.0
ur.01053125172.25,14,Francesco Cucca,174.64285714285714,233.0,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01053125172.25,16,2020,6070438.0
ur.01022655174.11,14,Charles Kooperberg,106.07142857142857,146.0,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01022655174.11,15,2024,256119536.0
ur.01047400610.27,14,Alexander Gusev,272.2142857142857,71.57142857142857,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01047400610.27,5,2025,3457623.0
ur.015565463537.09,14,Stephen S Rich,138.21428571428572,150.64285714285714,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015565463537.09,23,2023,122642245.0
ur.01212126575.59,14,Kerrin S. Small,81.64285714285714,192.85714285714286,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01212126575.59,7,2022,10488882.0
ur.0732505060.44,14,Graham G Giles,108.21428571428572,286.7857142857143,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0732505060.44,24,2022,27788021.0
ur.01033261006.89,14,Honghuang Lin,108.5,179.64285714285714,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01033261006.89,1,2020,0.0
ur.0611452663.46,14,Sune F. Nielsen,108.28571428571428,222.5,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0611452663.46,0,0,
