researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url
ur.0605556261.59,15,Xueling Sim,152.53333333333333,221.0,2021,
ur.01277325446.86,15,Najaf Amin,240.6,375.53333333333336,2019,
ur.01160031210.84,15,Vilmantas Giedraitis,235.73333333333332,186.26666666666668,2019,
ur.01372510466.28,15,Cisca Wijmenga,177.33333333333334,116.66666666666667,2021,
ur.01363244334.84,15,Louise V. Wain,170.4,145.8,2019,
ur.0772101217.51,15,Ching-Yu Cheng,118.73333333333333,167.6,2021,
ur.0734135057.55,15,Johanna Kuusisto,240.33333333333334,197.6,2021,
ur.01115613606.51,15,Mark J. Caulfield,135.8,241.73333333333332,2021,
ur.01271721176.11,14,Anders D. Børglum,389.0,303.42857142857144,2021,
ur.0716350025.21,14,Peter J. Campbell,132.21428571428572,108.92857142857143,2021,
ur.01310503443.70,14,Gail Davies,292.7857142857143,347.7142857142857,2019,
ur.015324146274.09,14,Timothy D. Spector,78.5,166.21428571428572,2021,
ur.0736477270.05,14,Lars G. Fritsche,219.35714285714286,135.85714285714286,2021,
ur.01165442252.60,14,Valgerdur Steinthorsdottir,145.78571428571428,147.28571428571428,2021,
ur.01244315352.55,14,Jennifer A. Brody,206.64285714285714,210.21428571428572,2021,
ur.0675500473.09,14,Joel N Hirschhorn,158.28571428571428,149.07142857142858,2019,
ur.015250157337.68,14,Mike A. Nalls,160.71428571428572,222.71428571428572,2021,
ur.01316742644.30,14,Ilja M. Nolte,211.78571428571428,313.92857142857144,2021,
ur.01047400610.27,14,Alexander Gusev,435.85714285714283,73.71428571428571,2020,
ur.0635554374.79,14,Sharon L. R. Kardia,229.85714285714286,225.42857142857142,2020,
ur.0651111653.12,14,Hugh Watkins,244.35714285714286,191.28571428571428,2021,
ur.0740324166.54,14,Zoltan Kutalik,220.35714285714286,454.14285714285717,2021,
ur.0624332664.74,14,Rajiv Chowdhury,142.14285714285714,180.64285714285714,2021,
ur.01071376774.64,14,Agnar Helgason,87.85714285714286,353.57142857142856,2021,
ur.01052563772.69,14,Rainer Rauramaa,121.78571428571429,205.14285714285714,2021,
ur.015725517277.33,14,Thomas Meitinger,310.2857142857143,300.7857142857143,2021,
ur.0607771645.44,14,Lawrence F. Bielak,114.71428571428571,229.35714285714286,2021,
ur.01266747622.46,14,Jenny Chang-Claude,159.28571428571428,234.28571428571428,2020,
ur.01311563255.02,14,Stefan Gustafsson,262.57142857142856,170.64285714285714,2019,
ur.01205012472.24,14,Timo A. Lakka,120.57142857142857,260.64285714285717,2021,
ur.011621612072.18,14,Tien Yin Wong,118.42857142857143,164.35714285714286,2021,
ur.01121255525.11,14,Florian Zink,100.07142857142857,258.57142857142856,2021,
ur.01121615754.11,14,Harm-Jan Westra,258.85714285714283,152.14285714285714,2021,
ur.0743320722.44,14,Nicole Soranzo,121.28571428571429,81.28571428571429,2021,
ur.01212126575.59,14,Kerrin S Small,122.14285714285714,266.92857142857144,2021,
ur.012477025162.02,14,Koichi Matsuda,99.14285714285714,96.14285714285714,2021,
ur.012607214677.06,14,Christopher A. Haiman,160.21428571428572,249.0,2021,
ur.01310516710.30,14,Shamil R. Sunyaev,82.78571428571429,67.42857142857143,2020,
ur.01022655174.11,14,Charles Kooperberg,206.07142857142858,146.85714285714286,2019,
ur.01106432311.84,14,Paul W. Franks,161.14285714285714,204.07142857142858,2021,
ur.01241135033.40,13,Fredrik Karpe,105.6923076923077,140.15384615384616,2021,
ur.01347562145.63,13,Trevor A. Graham,115.0,96.38461538461539,2021,
ur.016441375557.13,13,Jolanta Lissowska,185.84615384615384,282.53846153846155,2021,
ur.014602566457.34,13,Robin Young,121.46153846153847,157.84615384615384,2021,
ur.016605505244.07,13,Weihua Zhang,187.84615384615384,180.76923076923077,2019,
ur.01162730256.63,13,David Schlessinger,240.69230769230768,161.07692307692307,2020,
ur.0751153115.10,13,Peter Kovacs,122.61538461538461,312.61538461538464,2021,
ur.01145142653.47,13,Sven Bergmann,158.3846153846154,353.3076923076923,2021,
ur.01265161315.61,13,Bjarni V. Halldorsson,86.46153846153847,276.2307692307692,2021,
ur.0755010463.53,13,Alanna C. Morrison,239.23076923076923,120.84615384615384,2021,
ur.013510743257.71,13,Howard Y Chang,127.6923076923077,81.3076923076923,2021,
ur.01100532760.37,13,Inês Barroso,135.07692307692307,127.3076923076923,2019,
ur.0722663766.79,13,Srdjan Djurovic,369.0,198.3846153846154,2021,
ur.01153432015.08,13,Harold Snieder,266.3076923076923,278.9230769230769,2019,
ur.01240411533.17,13,Paul Mitchell,139.53846153846155,187.0,2020,
ur.01004625741.05,13,David P Strachan,169.69230769230768,224.46153846153845,2019,
ur.015521617657.37,13,Kay-Tee Khaw,152.46153846153845,188.92307692307693,2021,
ur.01146242611.08,13,John M Starr,211.53846153846155,272.2307692307692,2021,
ur.01041444737.29,13,Francis S. Collins,185.0,239.6153846153846,2021,
ur.01012310162.58,13,Georgia Chenevix-Trench,172.69230769230768,243.6153846153846,2020,
ur.016601220537.48,13,Montserrat Garcia-Closas,116.6923076923077,227.53846153846155,2021,
ur.01016372227.74,13,Colin N. A. Palmer,169.23076923076923,208.3846153846154,2021,
ur.0743534613.73,13,Olafur Th Magnusson,115.0,356.7692307692308,2021,
ur.0671773024.37,13,Craig E. Pennell,105.3076923076923,295.6923076923077,2021,
ur.01332326377.02,13,Anna Jakubowska,140.53846153846155,185.23076923076923,2020,
ur.01030556502.61,13,Daniel J. Gaffney,65.53846153846153,66.6923076923077,2021,
ur.01015727075.97,13,Ludmil B Alexandrov,211.53846153846155,176.76923076923077,2021,
ur.014231041057.12,13,Matt Neville,88.38461538461539,215.53846153846155,2021,
ur.01324147461.28,13,Ayush Giri,125.0,186.92307692307693,2021,
ur.0726475763.17,13,Aslaug Jonasdottir,69.53846153846153,229.46153846153845,2021,
ur.01066354456.51,13,Steven Gazal,133.0,33.69230769230769,2020,
ur.011106724015.15,13,Ilaria Gandin,118.6923076923077,260.3076923076923,2019,
ur.01002652773.15,13,Joyce Y. Tung,358.15384615384613,599.9230769230769,2019,
ur.0645437504.72,13,Emanuele Di Angelantonio,137.92307692307693,145.6153846153846,2021,
ur.0660210527.50,13,Roel A. Ophoff,204.15384615384616,311.2307692307692,2021,
ur.01213357474.95,12,Jessica D. Faul,178.58333333333334,231.5,2021,
ur.0654121465.06,12,Megan L. Grove,149.91666666666666,181.0,2021,
ur.01266050312.40,12,William J. Greenleaf,126.41666666666667,75.83333333333333,2021,
