,id,name,country_name,acronym,grant_id,grant_year,grant_title
100,grid.28665.3f,Academia Sinica,Taiwan,,US-10087236-B2,2010,Methods for modifying human antibodies by glycan engineering
101,grid.28665.3f,Academia Sinica,Taiwan,,US-9879042-B2,2015,Human iNKT cell activation using glycolipids
102,grid.459493.6,Constellation Pharmaceuticals (United States),United States,,WO-2017023671-A1,2016,EZH2 INHIBITORS AND MODULATION OF REGULATORY T-CELL FUNCTION
103,grid.28665.3f,Academia Sinica,Taiwan,,US-10005847-B2,2015,Anti-HER2 glycoantibodies and uses thereof
104,grid.28665.3f,Academia Sinica,Taiwan,,US-10086054-B2,2014,RM2 antigens and use thereof
105,grid.28665.3f,Academia Sinica,Taiwan,,US-10023892-B2,2015,Compositions and methods relating to universal glycoforms for enhanced antibody efficacy
106,grid.28665.3f,Academia Sinica,Taiwan,,US-9975965-B2,2016,Compositions and methods for treatment and detection of cancers
107,grid.28665.3f,Academia Sinica,Taiwan,,US-9981030-B2,2014,Glycan conjugates and use thereof
108,grid.417463.3,Synta Pharmaceuticals (United States),United States,,US-9402831-B2,2012,Combination therapy of HSP90 inhibitors with BRAF inhibitors
109,grid.423979.2,Danone (Netherlands),Netherlands,,WO-2017194607-A1,2017,FERMENTED INFANT FORMULA
110,grid.429010.e,Genkyotex (Switzerland),Switzerland,,US-9974791-B2,2015,Pyrazolo pyridine derivatives as NADPH oxidase inhibitors
111,grid.11843.3f,University of Strasbourg,France,,WO-2016174130-A1,2016,CLINICAL GENE SIGNATURE-BASED HUMAN CELL CULTURE MODEL AND USES THEREOF
112,grid.412220.7,Hôpitaux Universitaires de Strasbourg,France,HUS,WO-2016174130-A1,2016,CLINICAL GENE SIGNATURE-BASED HUMAN CELL CULTURE MODEL AND USES THEREOF
113,grid.59734.3c,Icahn School of Medicine at Mount Sinai,United States,MSSM,WO-2016174130-A1,2016,CLINICAL GENE SIGNATURE-BASED HUMAN CELL CULTURE MODEL AND USES THEREOF
114,grid.7429.8,French Institute of Health and Medical Research,France,INSERM,WO-2016174130-A1,2016,CLINICAL GENE SIGNATURE-BASED HUMAN CELL CULTURE MODEL AND USES THEREOF
115,grid.419673.e,Medtronic (United States),United States,Medtronic,WO-2017070064-A1,2016,SYSTEM AND METHOD FOR PROVIDING BLOOD PRESSURE SAFE ZONE INDICATION DURING AUTOREGULATION MONITORING
116,grid.189504.1,Boston University,United States,BU,US-10041044-B2,2017,Age-associated clonal hematopoiesis accelerates cardio-metabolic disease development
117,grid.418355.e,Andalusian Health Service,Spain,SAS,WO-2017207855-A1,2017,CIRCULATING MICRO-RNAS AS BIOMARKERS FOR PRIMARY ANTIPHOSPHOLIPID SYNDROME
118,grid.411901.c,University of Córdoba,Spain,UCO,WO-2017207855-A1,2017,CIRCULATING MICRO-RNAS AS BIOMARKERS FOR PRIMARY ANTIPHOSPHOLIPID SYNDROME
119,grid.417284.c,Philips (Netherlands),Netherlands,,WO-2017191248-A1,2017,MEDICAL ATLAS REGISTRATION
120,grid.418195.0,Babraham Institute,United Kingdom,,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
121,grid.431504.7,Salesforce (United States),United States,,WO-2017031088-A1,2016,THREE-DIMENSIONAL (3D) CONVOLUTION WITH 3D BATCH NORMALIZATION
122,grid.437349.e,University of Minnesota System,United States,,US-9888673-B2,2015,"Genetically modified cells, tissues, and organs for treating disease"
123,grid.419481.1,Novartis (Switzerland),Switzerland,,WO-2018015868-A1,2017,AN OXAZINE DERIVATIVE FOR USE IN THE PREVENTION OF ALZHEIMER'S DISEASE IN AT RISK PATIENTS
124,grid.13097.3c,King's College London,United Kingdom,KCL,WO-2016198859-A1,2016,PRECISION THERAPEUTICS
125,grid.497526.b,Janssen (Ireland),Ireland,,WO-2017004012-A1,2016,PHARMACEUTICAL FORMULATIONS
126,grid.418227.a,Gilead Sciences (United States),United States,Gilead,WO-2017004012-A1,2016,PHARMACEUTICAL FORMULATIONS
127,grid.277151.7,Centre Hospitalier Universitaire de Nantes,France,CHU,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
128,grid.4444.0,French National Centre for Scientific Research,France,CNRS,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
129,grid.4817.a,University of Nantes,France,,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
130,grid.424580.f,Lundbeck (Denmark),Denmark,,US-10034874-B2,2017,Nalmefene for reduction of alcohol consumption in specific target populations
131,grid.424580.f,Lundbeck (Denmark),Denmark,,US-9642849-B2,2016,Nalmefene for reduction of alcohol consumption in specific target populations
132,grid.420918.6,Imperial Innovations (United Kingdom),United Kingdom,,WO-2016116768-A1,2016,NEUROTHERAPEUTIC AGENTS
133,grid.6533.3,Nokia (Finland),Finland,,WO-2017064370-A1,2016,VIDEO CODING WITH HELPER DATA FOR SPATIAL INTRA-PREDICTION
134,grid.168010.e,Stanford University,United States,SU,US-10034645-B1,2017,Systems and methods for detecting complex networks in MRI image data
135,grid.9613.d,Friedrich Schiller University Jena,Germany,FSU,DE-102016211743-A1,2016,Optical arrangement and method for operating in two modes
136,grid.424549.a,Carl Zeiss (Germany),Germany,,DE-102016211743-A1,2016,Optical arrangement and method for operating in two modes
137,grid.418907.3,Leibniz Institute of Photonic Technology,Germany,IPHT,DE-102016211743-A1,2016,Optical arrangement and method for operating in two modes
138,grid.116068.8,Massachusetts Institute of Technology,United States,MIT,US-9670486-B2,2011,RNAi-based method of screening and characterizing drug combinations
139,grid.116068.8,Massachusetts Institute of Technology,United States,MIT,US-9683231-B2,2011,RNAi-based method of drug screening and characterization
140,grid.10992.33,Paris Descartes University,France,,WO-2017046335-A1,2016,T CELL RECEPTORS (TCR) AND USES THEREOF FOR THE DIAGNOSIS AND TREATMENT OF DIABETES
141,grid.4444.0,French National Centre for Scientific Research,France,CNRS,WO-2017046335-A1,2016,T CELL RECEPTORS (TCR) AND USES THEREOF FOR THE DIAGNOSIS AND TREATMENT OF DIABETES
142,grid.7429.8,French Institute of Health and Medical Research,France,INSERM,WO-2017046335-A1,2016,T CELL RECEPTORS (TCR) AND USES THEREOF FOR THE DIAGNOSIS AND TREATMENT OF DIABETES
143,grid.214572.7,University of Iowa,United States,UI,US-9980951-B2,2016,Image guided therapy for cancer
144,grid.476291.f,GW Pharmaceuticals (United Kingdom),United Kingdom,,WO-2017042567-A1,2016,USE OF CANNABINOIDS IN THE TREATMENT OF MENTAL DISORDERS
