,id,last_grant_year,total_grants
685,ur.01062400635.79,,
686,ur.0575521461.12,,
687,ur.0660747026.21,,
688,ur.01067744476.10,,
689,ur.01355734517.21,,
690,ur.07723105632.44,2021.0,23.0
691,ur.010127456152.27,,
692,ur.01032327555.79,2015.0,1.0
693,ur.01150306557.04,2019.0,26.0
694,ur.01103200601.09,2022.0,19.0
695,ur.0750043301.69,2013.0,4.0
696,ur.0701353106.90,2020.0,52.0
697,ur.013217252727.69,,
698,ur.0712255320.24,,
699,ur.0624763146.01,2021.0,5.0
700,ur.01345112136.24,2020.0,3.0
701,ur.0600613727.54,2024.0,13.0
702,ur.0707333073.25,,
703,ur.01345057751.89,,
704,ur.01157360151.74,2022.0,27.0
705,ur.0713540153.74,2019.0,6.0
706,ur.01143540012.53,,
707,ur.0765201673.95,,
708,ur.010101505177.49,2020.0,32.0
709,ur.015206537357.39,2007.0,1.0
710,ur.015112627317.73,2018.0,2.0
711,ur.015645550457.99,2015.0,4.0
712,ur.01224466535.24,,
713,ur.0736713725.41,,
714,ur.01224176021.90,,
715,ur.0714227664.21,,
716,ur.0757332456.37,,
717,ur.012353231675.17,,
718,ur.016317135745.67,,
719,ur.07723070461.51,,
720,ur.0603012530.33,2018.0,18.0
721,ur.01204470014.51,2019.0,12.0
722,ur.01132314305.16,2018.0,16.0
723,ur.0754202045.02,,
724,ur.01134314703.76,2023.0,25.0
725,ur.01205454434.38,,
726,ur.0575776442.24,,
727,ur.0626001405.26,,
728,ur.01343437571.76,2021.0,23.0
729,ur.01275601577.27,,
730,ur.01215177774.25,,
731,ur.01036516062.45,,
732,ur.01055716156.21,2023.0,8.0
733,ur.01144154402.37,,
734,ur.0703577540.65,2024.0,5.0
735,ur.0731607426.14,2020.0,5.0
736,ur.0666011146.86,2020.0,2.0
737,ur.0715214034.05,2018.0,7.0
738,ur.01163250252.90,,
739,ur.01225247126.20,,
740,ur.0631561714.29,2022.0,12.0
741,ur.0721607077.65,,
742,ur.01220655635.19,2021.0,3.0
743,ur.01110221360.02,2002.0,1.0
744,ur.0604140657.40,2020.0,11.0
745,ur.0627545135.27,2020.0,10.0
746,ur.01215000714.10,2018.0,4.0
747,ur.01064606177.62,,
748,ur.0626455700.29,,1.0
749,ur.01322720426.10,2019.0,1.0
750,ur.01110255466.35,,
751,ur.0657071261.03,2011.0,2.0
752,ur.01354776404.02,2024.0,1.0
