,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_state,aff_state_code,id,researcher_id,first_name,last_name
138,Kitakyushu,1859307.0,Japan,JP,grid.271052.3,University of Occupational and Environmental Health Japan,,,pub.1107969659,ur.01066246475.42,Reiji,Yoshimura
139,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1107969659,ur.0624033661.80,Osamu,Abe
140,Kitakyushu,1859307.0,Japan,JP,grid.271052.3,University of Occupational and Environmental Health Japan,,,pub.1107969659,ur.01222576366.09,Yukunori,Korogi
141,Geneva,2660646.0,Switzerland,CH,grid.8591.5,University of Geneva,,,pub.1106343655,ur.010437327631.85,Gernot W.,Scheerer
142,Hangzhou,1808926.0,China,CN,grid.494629.4,Westlake Institute for Advanced Study,,,pub.1106343655,ur.01150717352.86,Zhi,Ren
143,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106343655,ur.07727660141.67,Shinji,Watanabe
144,,,,,,"PHELIQS, UMR-E 9001, CEA-INAC/UJF-Grenoble 1, 38054, Grenoble, France",,,pub.1106343655,ur.01205404541.63,Gérard,Lapertot
145,,,,,,"PHELIQS, UMR-E 9001, CEA-INAC/UJF-Grenoble 1, 38054, Grenoble, France",,,pub.1106343655,ur.012554341625.05,Dai,Aoki
146,Sendai,2111149.0,Japan,JP,grid.69566.3a,Tohoku University,,,pub.1106343655,ur.012554341625.05,Dai,Aoki
147,Geneva,2660646.0,Switzerland,CH,grid.8591.5,University of Geneva,,,pub.1106343655,ur.015553474755.54,Didier,Jaccard
148,Osaka,1853909.0,Japan,JP,grid.136593.b,Osaka University,,,pub.1106343655,ur.011464030011.85,Kazumasa,Miyake
149,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106052997,ur.011742657512.04,Arindam Gajendra,Mahapatra
150,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106052997,ur.016347202125.42,Balbir,Singh
151,Okazaki,1854376.0,Japan,JP,grid.467811.d,National Institute for Physiological Sciences,,,pub.1106052997,ur.016347202125.42,Balbir,Singh
152,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106052997,ur.015773714465.27,Hiroaki,Wagatsuma
153,Tsukuba,2110683.0,Japan,JP,grid.208504.b,National Institute of Advanced Industrial Science and Technology,,,pub.1106052997,ur.015773714465.27,Hiroaki,Wagatsuma
154,,,,,,"Riken BSI, Wako, Japan",,,pub.1106052997,ur.015773714465.27,Hiroaki,Wagatsuma
155,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1106052997,ur.013547467411.15,Keiichi,Horio
156,Dalian,1814087.0,China,CN,grid.30055.33,Dalian University of Technology,,,pub.1107221729,ur.014334770630.39,Jing,Guo
157,Binzhou,1816336.0,China,CN,grid.454879.3,Binzhou University,,,pub.1107221729,ur.011465310313.22,Yingyuan,Zhao
158,Dalian,1814087.0,China,CN,grid.30055.33,Dalian University of Technology,,,pub.1107221729,ur.013010143030.71,Nian,Jiang
