id,first_name,total_publications,research_orgs,last_name,current_research_org.id,current_research_org.acronym,name,country,orcid_id,full_name
ur.014531043601.25,Arnd,3,"[{'id': 'grid.7752.7', 'name': 'Bundeswehr University Munich', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Heursch,grid.7752.7,empty,Bundeswehr University Munich,Germany,empty,Arnd Heursch
ur.0575760777.17,Herbert,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Balzer,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Herbert Balzer
ur.010052057436.10,H,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Zefferer,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,H Zefferer
ur.0640717275.92,Evelin,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.8385.6', 'acronym': 'FZJ', 'name': 'Jülich Research Centre', 'country_name': 'Germany'}]",Jaschinski,grid.8385.6,FZJ,Jülich Research Centre,Germany,empty,Evelin Jaschinski
ur.013012423611.28,Jonas,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Zielinski,grid.1957.a,RWTH,RWTH Aachen University,Germany,empty,Jonas Zielinski
ur.014004413461.35,Reinhard,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Poprawe,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Reinhard Poprawe
ur.016221346156.27,M,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Herper,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,M Herper
ur.013371171625.01,Eckehard D,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.455100.5', 'name': 'ASML (United States)', 'country_name': 'United States'}]",Onkels,grid.455100.5,empty,ASML (United States),United States,empty,Eckehard D Onkels
ur.013507632637.45,Jochen,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Vieker,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Jochen Vieker
ur.010266060161.51,Elmar,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Gehlen,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Elmar Gehlen
ur.010414267050.66,Joerg,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Bernges,grid.1957.a,RWTH,RWTH Aachen University,Germany,empty,Joerg Bernges
ur.01136501121.82,Niels,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Krauch,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Niels Krauch
ur.010714402741.54,Alexander,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Bayer,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Alexander Bayer
ur.013407157725.42,Ingo,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Bauer,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Ingo Bauer
ur.013517177023.09,Angelo,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Di Meo,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Angelo Di Meo
ur.014743600663.39,J,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Klein,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,J Klein
ur.014646613115.23,H,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Aehling,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,H Aehling
